Generation  Build-date           NixOS version            Kernel   Configuration Revision  Specialisation  Current
105         2026-02-17 17:01:29  25.11.20260110.d030887   6.12.64  Unknown                 []              True
104         2026-02-17 16:37:59  25.11.20260110.d030887   6.12.64  Unknown                 []              False
103         2026-02-17 16:26:03  25.11.20260110.d030887   6.12.64  Unknown                 []              False
102         2026-02-17 16:23:30  25.11.20260110.d030887   6.12.64  Unknown                 []              False
101         2026-02-17 16:20:10  25.11.20260110.d030887   6.12.64  Unknown                 []              False
100         2026-01-14 02:38:50  25.11.20260110.d030887   6.12.64  Unknown                 []              False
99          2026-01-14 02:18:22  25.11.20260110.d030887   6.12.64  Unknown                 []              False
98          2026-01-14 02:14:35  25.11.20260110.d030887   6.12.64  Unknown                 []              False
97          2026-01-14 02:03:53  25.11.20260110.d030887   6.12.64  Unknown                 []              False
96          2026-01-14 02:01:58  25.11.20260110.d030887   6.12.64  Unknown                 []              False
95          2026-01-13 20:30:36  25.11.20260110.d030887   6.12.64  Unknown                 []              False
94          2026-01-13 20:15:29  25.11.20260110.d030887   6.12.64  Unknown                 []              False
93          2026-01-13 19:16:42  25.11.20260110.d030887   6.12.64  Unknown                 []              False
92          2026-01-13 18:26:49  25.11.20260110.d030887   6.12.64  Unknown                 []              False
91          2026-01-13 17:53:56  25.11.20260110.d030887   6.12.64  Unknown                 []              False
90          2026-01-13 17:25:10  25.11.20260110.d030887   6.12.64  Unknown                 []              False
89          2026-01-13 07:14:38  25.11.20260110.d030887   6.12.64  Unknown                 []              False
88          2026-01-13 06:45:31  25.11.20260110.d030887   6.12.64  Unknown                 []              False
87          2026-01-13 06:36:26  25.11.20260110.d030887   6.12.64  Unknown                 []              False
86          2026-01-13 05:56:57  25.11.20260110.d030887   6.12.64  Unknown                 []              False
85          2026-01-13 05:50:14  25.11.20260110.d030887   6.12.64  Unknown                 []              False
84          2026-01-13 04:58:59  25.11.20260110.d030887   6.12.64  Unknown                 []              False
83          2026-01-13 04:37:06  25.11.20260110.d030887   6.12.64  Unknown                 []              False
82          2026-01-13 04:26:12  25.11.20260110.d030887   6.12.64  Unknown                 []              False
81          2026-01-13 03:35:46  25.11.20260110.d030887   6.12.64  Unknown                 []              False
80          2026-01-13 03:24:35  25.11.20260110.d030887   6.12.64  Unknown                 []              False
79          2026-01-13 02:29:42  25.11.20260110.d030887   6.12.64  Unknown                 []              False
78          2026-01-13 02:20:21  25.11.20260110.d030887   6.12.64  Unknown                 []              False
77          2026-01-13 02:13:22  25.11.20260110.d030887   6.12.64  Unknown                 []              False
76          2026-01-13 02:09:45  25.11.20260110.d030887   6.12.64  Unknown                 []              False
75          2026-01-13 01:55:31  25.11.20260110.d030887   6.12.64  Unknown                 []              False
74          2026-01-13 01:47:52  25.11.20260110.d030887   6.12.64  Unknown                 []              False
73          2026-01-13 00:31:04  25.11.20260110.d030887   6.12.64  Unknown                 []              False
72          2026-01-13 01:24:25  25.11.20260110.d030887   6.12.64  Unknown                 []              False
71          2026-01-13 01:19:58  25.11.20260110.d030887   6.12.64  Unknown                 []              False
70          2026-01-13 00:53:45  25.11.20260110.d030887   6.12.64  Unknown                 []              False
69          2026-01-13 00:31:04  25.11.20260110.d030887   6.12.64  Unknown                 []              False
68          2026-01-12 04:40:20  25.11.20260110.d030887   6.12.64  Unknown                 []              False
